product_id,product_name,category,price
P0001,Total Voice,beauty,256.03
P0002,Here Nice,sports,166.46
P0003,Onto Glass,beauty,279.43
P0004,Late Simply,home,213.12
P0005,Finally Center,sports,340.27
P0006,Including Serious,home,309.68
P0007,Best Clear,beauty,206.01
P0008,Baby Eat,electronics,155.42
P0009,Space Education,home,217.79
P0010,Pull Plan,books,305.3
P0011,Sister Drop,beauty,235.17
P0012,Create Than,sports,339.44
P0013,Space Check,books,239.23
P0014,Radio White,home,331.13
P0015,Beyond Mention,beauty,260.15
P0016,Wife Painting,books,170.92
P0017,Difficult Professor,home,338.03
P0018,Car Water,home,404.25
P0019,Gun Establish,home,17.09
P0020,Vote Along,home,492.05
P0021,Might Factor,books,425.62
P0022,Song How,electronics,230.43
P0023,Hour Foreign,books,101.25
P0024,Word Memory,sports,249.72
P0025,Measure Support,home,78.05
P0026,Argue Executive,electronics,446.87
P0027,Middle Quite,electronics,390.32
P0028,Service Drive,home,92.06
P0029,Head Admit,books,234.95
P0030,Store Difficult,books,128.35
P0031,Throughout Control,electronics,230.95
P0032,Seven Trade,sports,335.45
P0033,Time Imagine,books,299.75
P0034,Sister Develop,sports,308.26
P0035,Reason Responsibility,books,216.24
P0036,Special Benefit,books,225.73
P0037,Ball Appear,home,373.11
P0038,Few Put,sports,227.78
P0039,Wonder Child,home,420.73
P0040,My Per,beauty,384.08
P0041,Or Drive,books,244.88
P0042,Risk Almost,home,140.93
P0043,Save Trip,electronics,358.2
P0044,Perform War,home,139.5
P0045,We President,beauty,447.05
P0046,Entire Up,electronics,73.5
P0047,Another Improve,home,194.6
P0048,Finally Research,home,354.68
P0049,Foreign Study,electronics,210.36
P0050,Rock Town,beauty,273.59
